"","Cell","Batch","Group","ExpLibSize"
"Cell176","Cell176","Batch1","Group3",70817.7666845426
"Cell177","Cell177","Batch1","Group1",72528.4090418007
"Cell178","Cell178","Batch1","Group5",75143.8769459637
"Cell179","Cell179","Batch1","Group5",49754.061099068
"Cell180","Cell180","Batch1","Group5",82349.1524903127
"Cell181","Cell181","Batch1","Group1",45107.6266236267
"Cell182","Cell182","Batch1","Group3",38960.5935252773
"Cell183","Cell183","Batch1","Group2",57699.6265888899
"Cell184","Cell184","Batch1","Group1",67967.8907627385
"Cell185","Cell185","Batch1","Group4",64891.2731444065
"Cell186","Cell186","Batch1","Group1",67358.8751069869
"Cell187","Cell187","Batch1","Group2",61191.3827354755
"Cell188","Cell188","Batch1","Group5",53128.6477674117
"Cell189","Cell189","Batch1","Group5",61684.0354475353
"Cell190","Cell190","Batch1","Group1",86016.6509824326
"Cell191","Cell191","Batch1","Group4",56714.6130021998
"Cell192","Cell192","Batch1","Group5",66175.9120827881
"Cell193","Cell193","Batch1","Group3",66134.3278665983
"Cell194","Cell194","Batch1","Group2",76552.3699047786
"Cell195","Cell195","Batch1","Group1",48152.7354717284
"Cell196","Cell196","Batch1","Group3",55583.2955675011
"Cell197","Cell197","Batch1","Group4",63472.2545505647
"Cell198","Cell198","Batch1","Group2",55071.6266809435
"Cell199","Cell199","Batch1","Group1",62128.1765100284
"Cell200","Cell200","Batch1","Group3",56944.3035085181
"Cell201","Cell201","Batch1","Group5",49421.2965935624
"Cell202","Cell202","Batch1","Group3",43301.2451564182
"Cell203","Cell203","Batch1","Group3",70580.0395985222
"Cell204","Cell204","Batch1","Group4",61190.2127871366
"Cell205","Cell205","Batch1","Group3",69716.9639862174
"Cell206","Cell206","Batch1","Group2",37750.299548209
"Cell207","Cell207","Batch1","Group4",74073.1965969684
"Cell208","Cell208","Batch1","Group4",64128.9051257818
"Cell209","Cell209","Batch1","Group2",54669.4869530061
"Cell210","Cell210","Batch1","Group3",66673.8153377439
"Cell211","Cell211","Batch1","Group5",63318.6369817012
"Cell212","Cell212","Batch1","Group1",67934.9213486638
"Cell213","Cell213","Batch1","Group2",66564.4210231273
"Cell214","Cell214","Batch1","Group5",61892.7409555011
"Cell215","Cell215","Batch1","Group1",61613.3492460808
"Cell216","Cell216","Batch1","Group1",53039.0585846566
"Cell217","Cell217","Batch1","Group3",65598.3658096007
"Cell218","Cell218","Batch1","Group5",53808.8735348628
"Cell219","Cell219","Batch1","Group1",77849.2979489195
"Cell220","Cell220","Batch1","Group1",61167.5730363733
"Cell221","Cell221","Batch1","Group3",79933.494682388
"Cell222","Cell222","Batch1","Group3",55828.2396754191
"Cell223","Cell223","Batch1","Group2",57492.1954966272
"Cell224","Cell224","Batch1","Group3",70874.4140429448
"Cell225","Cell225","Batch1","Group4",75121.1928123105
"Cell226","Cell226","Batch1","Group1",47723.0975213729
"Cell227","Cell227","Batch1","Group4",70825.4228738929
"Cell228","Cell228","Batch1","Group3",74584.6056229892
"Cell229","Cell229","Batch1","Group2",54823.5240283266
"Cell230","Cell230","Batch1","Group4",68938.2289623406
"Cell231","Cell231","Batch1","Group1",52566.6870669946
"Cell232","Cell232","Batch1","Group3",53849.0986974527
"Cell233","Cell233","Batch1","Group2",57791.2703531842
"Cell234","Cell234","Batch1","Group3",52075.1773588318
"Cell235","Cell235","Batch1","Group5",80421.604705887
"Cell236","Cell236","Batch1","Group3",59346.8500501268
"Cell237","Cell237","Batch1","Group5",54991.5069821873
"Cell238","Cell238","Batch1","Group5",43140.3358637678
"Cell239","Cell239","Batch1","Group4",60660.7430517616
"Cell240","Cell240","Batch1","Group4",51239.1905309881
"Cell241","Cell241","Batch1","Group4",55091.1686674382
"Cell242","Cell242","Batch1","Group3",55734.8805438827
"Cell243","Cell243","Batch1","Group4",42776.8312283249
"Cell244","Cell244","Batch1","Group1",65611.9317532998
"Cell245","Cell245","Batch1","Group2",62353.1805871499
"Cell246","Cell246","Batch1","Group4",64884.7583415354
"Cell247","Cell247","Batch1","Group3",50398.0247119476
"Cell248","Cell248","Batch1","Group4",41169.7997384437
"Cell249","Cell249","Batch1","Group2",88221.5311304522
"Cell250","Cell250","Batch1","Group4",79277.1360560067
"Cell251","Cell251","Batch1","Group1",54547.8247634615
"Cell252","Cell252","Batch1","Group5",44789.171857947
"Cell253","Cell253","Batch1","Group1",57594.6355752445
"Cell254","Cell254","Batch1","Group4",59243.0709009218
"Cell255","Cell255","Batch1","Group5",39453.3155365869
"Cell256","Cell256","Batch1","Group4",56452.9228540708
"Cell257","Cell257","Batch1","Group2",60730.1184856874
"Cell258","Cell258","Batch1","Group3",83790.2869085713
"Cell259","Cell259","Batch1","Group4",47887.9308435948
"Cell260","Cell260","Batch1","Group3",96818.42103122
"Cell261","Cell261","Batch1","Group1",76958.7747041084
"Cell262","Cell262","Batch1","Group4",59044.1662670997
"Cell263","Cell263","Batch1","Group3",55482.8245572705
"Cell264","Cell264","Batch1","Group3",64777.3519532818
"Cell265","Cell265","Batch1","Group5",77119.4851953751
"Cell266","Cell266","Batch1","Group5",79715.2079873646
"Cell267","Cell267","Batch1","Group2",62018.8760756286
"Cell268","Cell268","Batch1","Group2",51125.7508676135
"Cell269","Cell269","Batch1","Group5",74550.7869195299
"Cell270","Cell270","Batch1","Group5",73725.1616603435
"Cell271","Cell271","Batch1","Group2",53113.4147146551
"Cell272","Cell272","Batch1","Group2",48405.5107894115
"Cell273","Cell273","Batch1","Group2",58273.8805503986
"Cell274","Cell274","Batch1","Group3",64164.0326392823
"Cell275","Cell275","Batch1","Group2",57121.1916377198
"Cell276","Cell276","Batch1","Group3",48536.4136432289
"Cell277","Cell277","Batch1","Group2",50478.8129499598
"Cell278","Cell278","Batch1","Group3",70477.8615400267
"Cell279","Cell279","Batch1","Group2",68595.5315902908
"Cell280","Cell280","Batch1","Group4",63981.2303658369
"Cell281","Cell281","Batch1","Group5",52449.8101750113
"Cell282","Cell282","Batch1","Group2",57955.0126938408
"Cell283","Cell283","Batch1","Group4",47758.9380315614
"Cell284","Cell284","Batch1","Group1",71587.7203560788
"Cell285","Cell285","Batch1","Group3",41815.912592806
"Cell286","Cell286","Batch1","Group2",56966.5531295953
"Cell287","Cell287","Batch1","Group2",57013.8604628262
"Cell288","Cell288","Batch1","Group3",52653.3749141503
"Cell289","Cell289","Batch1","Group2",97963.7856808102
"Cell290","Cell290","Batch1","Group2",93196.5406552791
"Cell291","Cell291","Batch1","Group3",53986.5137805323
"Cell292","Cell292","Batch1","Group3",65426.2460578546
"Cell293","Cell293","Batch1","Group2",63934.9236123339
"Cell294","Cell294","Batch1","Group1",65463.6235016721
"Cell295","Cell295","Batch1","Group3",66031.6778191572
"Cell296","Cell296","Batch1","Group4",52335.9820787302
"Cell297","Cell297","Batch1","Group5",38813.0649534495
"Cell298","Cell298","Batch1","Group2",54730.0398469937
"Cell299","Cell299","Batch1","Group2",68454.0888663169
"Cell300","Cell300","Batch1","Group2",53294.3733348827
"Cell301","Cell301","Batch1","Group1",63880.3742554472
"Cell302","Cell302","Batch1","Group5",51166.1061642454
"Cell303","Cell303","Batch1","Group2",62541.1312756654
"Cell304","Cell304","Batch1","Group4",65862.9860148905
"Cell305","Cell305","Batch1","Group4",60717.7216690545
"Cell306","Cell306","Batch1","Group3",48620.8375375367
"Cell307","Cell307","Batch1","Group1",75605.3855272903
"Cell308","Cell308","Batch1","Group2",59004.2680151638
"Cell309","Cell309","Batch1","Group1",46304.0408232971
"Cell310","Cell310","Batch1","Group2",52168.8529447274
"Cell311","Cell311","Batch1","Group4",60974.4678735559
"Cell312","Cell312","Batch1","Group2",50587.5935290086
"Cell313","Cell313","Batch1","Group2",41449.7454518324
"Cell314","Cell314","Batch1","Group1",48702.6182404972
"Cell315","Cell315","Batch1","Group5",58520.2555546882
"Cell316","Cell316","Batch1","Group3",60666.5507327116
"Cell317","Cell317","Batch1","Group4",80300.1208780644
"Cell318","Cell318","Batch1","Group2",52145.1828030369
"Cell319","Cell319","Batch1","Group3",49958.3553441228
"Cell320","Cell320","Batch1","Group1",51958.3895190385
"Cell321","Cell321","Batch1","Group5",72610.3399576085
"Cell322","Cell322","Batch1","Group5",50154.9759348236
"Cell323","Cell323","Batch1","Group3",58116.558033365
"Cell324","Cell324","Batch1","Group4",90535.9320599224
"Cell325","Cell325","Batch1","Group1",46197.5127815259
"Cell326","Cell326","Batch1","Group1",50545.5267916505
"Cell327","Cell327","Batch1","Group1",54489.7284922032
"Cell328","Cell328","Batch1","Group1",43261.2982348
"Cell329","Cell329","Batch1","Group5",62095.2921704641
"Cell330","Cell330","Batch1","Group3",39380.6727519402
"Cell331","Cell331","Batch1","Group5",55162.6091295234
"Cell332","Cell332","Batch1","Group1",50096.3116374602
"Cell333","Cell333","Batch1","Group3",51712.1684096058
"Cell334","Cell334","Batch1","Group3",74803.6602428698
"Cell335","Cell335","Batch1","Group1",68631.7185234836
"Cell336","Cell336","Batch1","Group2",84997.5151895087
"Cell337","Cell337","Batch1","Group3",73372.7176449752
"Cell338","Cell338","Batch1","Group4",61575.4726158331
"Cell339","Cell339","Batch1","Group2",52625.075881478
"Cell340","Cell340","Batch1","Group4",62482.4591238974
"Cell341","Cell341","Batch1","Group1",63265.9835356914
"Cell342","Cell342","Batch1","Group1",56408.3730326514
"Cell343","Cell343","Batch1","Group2",44396.834962256
"Cell344","Cell344","Batch1","Group4",69170.4162524127
"Cell345","Cell345","Batch1","Group3",50743.4790392886
"Cell346","Cell346","Batch1","Group5",46450.072257351
"Cell347","Cell347","Batch1","Group3",60278.7365329409
"Cell348","Cell348","Batch1","Group4",55072.4455706654
"Cell349","Cell349","Batch1","Group2",72389.0138244497
"Cell350","Cell350","Batch1","Group3",55020.3297581948
"Cell351","Cell351","Batch1","Group5",74866.6506272859
"Cell352","Cell352","Batch1","Group4",63442.5999166622
"Cell353","Cell353","Batch1","Group2",62323.6107946618
"Cell354","Cell354","Batch1","Group5",57225.5126330748
"Cell355","Cell355","Batch1","Group4",76011.1629249682
"Cell356","Cell356","Batch1","Group1",54653.7832130807
"Cell357","Cell357","Batch1","Group3",52447.9682321229
"Cell358","Cell358","Batch1","Group1",62436.0550725049
"Cell359","Cell359","Batch1","Group2",62333.3566059962
"Cell360","Cell360","Batch1","Group1",89300.8359590722
"Cell361","Cell361","Batch1","Group4",59194.5486935726
"Cell362","Cell362","Batch1","Group2",70312.7221556116
"Cell363","Cell363","Batch1","Group3",59348.1213140157
"Cell364","Cell364","Batch1","Group1",81381.6510845087
"Cell365","Cell365","Batch1","Group3",67061.290667975
"Cell366","Cell366","Batch1","Group4",68173.8859940845
"Cell367","Cell367","Batch1","Group1",63397.8371636157
"Cell368","Cell368","Batch1","Group2",49864.9790461525
"Cell369","Cell369","Batch1","Group5",53005.5054008287
"Cell370","Cell370","Batch1","Group5",66938.5264542869
"Cell371","Cell371","Batch1","Group4",48684.426160596
"Cell372","Cell372","Batch1","Group4",76570.3056215955
"Cell373","Cell373","Batch1","Group4",46237.6019185413
"Cell374","Cell374","Batch1","Group1",47243.7865048319
"Cell375","Cell375","Batch1","Group3",47626.4967330357
"Cell376","Cell376","Batch1","Group3",60989.6387167997
"Cell377","Cell377","Batch1","Group4",74520.4555430647
"Cell378","Cell378","Batch1","Group3",43805.4653861563
"Cell379","Cell379","Batch1","Group1",55207.8317704124
"Cell380","Cell380","Batch1","Group2",60760.6266790774
"Cell381","Cell381","Batch1","Group4",43603.7722206937
"Cell382","Cell382","Batch1","Group4",56859.5404205718
"Cell383","Cell383","Batch1","Group4",57552.4015152829
"Cell384","Cell384","Batch1","Group5",73698.9482495459
"Cell385","Cell385","Batch1","Group1",68422.8164839192
"Cell386","Cell386","Batch1","Group3",46077.4586363609
"Cell387","Cell387","Batch1","Group3",47667.2064489861
"Cell388","Cell388","Batch1","Group5",51548.3306678159
"Cell389","Cell389","Batch1","Group1",39229.8093802834
"Cell390","Cell390","Batch1","Group2",47383.96532628
"Cell391","Cell391","Batch1","Group1",70312.680811226
"Cell392","Cell392","Batch1","Group2",55181.1669680611
"Cell393","Cell393","Batch1","Group2",69611.4594542558
"Cell394","Cell394","Batch1","Group1",70215.8307075028
"Cell395","Cell395","Batch1","Group4",51440.7721542453
"Cell396","Cell396","Batch1","Group2",54598.9071658346
"Cell397","Cell397","Batch1","Group3",87629.7044743694
"Cell398","Cell398","Batch1","Group5",55841.5562238323
"Cell399","Cell399","Batch1","Group3",62552.7943447279
"Cell400","Cell400","Batch1","Group3",75281.5912909554
"Cell401","Cell401","Batch1","Group2",58412.8315485423
"Cell402","Cell402","Batch1","Group5",61665.4190672046
"Cell403","Cell403","Batch1","Group2",46714.3540359979
"Cell404","Cell404","Batch1","Group1",89397.562248626
"Cell405","Cell405","Batch1","Group1",51308.1088506477
"Cell406","Cell406","Batch1","Group1",47297.9477355453
"Cell407","Cell407","Batch1","Group5",53426.5998363689
"Cell408","Cell408","Batch1","Group3",85047.4120758202
"Cell409","Cell409","Batch1","Group5",41979.0572990384
"Cell410","Cell410","Batch1","Group2",57414.1815607971
"Cell411","Cell411","Batch1","Group1",46779.0711272123
"Cell412","Cell412","Batch1","Group1",48722.8814486432
"Cell413","Cell413","Batch1","Group3",60196.9597175093
"Cell414","Cell414","Batch1","Group5",65854.8525587657
"Cell415","Cell415","Batch1","Group5",83613.1274489608
"Cell416","Cell416","Batch1","Group5",55322.2614425274
"Cell417","Cell417","Batch1","Group4",65333.9999157226
"Cell418","Cell418","Batch1","Group4",34421.1281025311
"Cell419","Cell419","Batch1","Group3",61612.2246290031
"Cell420","Cell420","Batch1","Group5",83250.0908671141
"Cell421","Cell421","Batch1","Group1",66264.7659866618
"Cell422","Cell422","Batch1","Group4",58777.7870654113
"Cell423","Cell423","Batch1","Group4",58066.8455534174
"Cell424","Cell424","Batch1","Group5",53271.8630783336
"Cell425","Cell425","Batch1","Group2",65852.9091131349
"Cell426","Cell426","Batch1","Group3",65379.9536229333
"Cell427","Cell427","Batch1","Group4",80598.7977887143
"Cell428","Cell428","Batch1","Group2",39186.5306108475
"Cell429","Cell429","Batch1","Group1",60137.1134000494
"Cell430","Cell430","Batch1","Group1",53172.0213637007
"Cell431","Cell431","Batch1","Group1",56636.3468005979
"Cell432","Cell432","Batch1","Group1",56501.0463524927
"Cell433","Cell433","Batch1","Group2",51750.3469477727
"Cell434","Cell434","Batch1","Group3",63494.4828078629
"Cell435","Cell435","Batch1","Group4",51873.009918218
"Cell436","Cell436","Batch1","Group2",43781.6235338996
"Cell437","Cell437","Batch1","Group1",74382.5018851893
"Cell438","Cell438","Batch1","Group5",56820.5128448488
"Cell439","Cell439","Batch1","Group2",57523.9488575285
"Cell440","Cell440","Batch1","Group4",59345.4561979196
"Cell441","Cell441","Batch1","Group1",47530.6714327997
"Cell442","Cell442","Batch1","Group2",67731.8304270103
"Cell443","Cell443","Batch1","Group3",63927.2017923097
"Cell444","Cell444","Batch1","Group4",45548.6011543823
"Cell445","Cell445","Batch1","Group5",63286.3470416382
"Cell446","Cell446","Batch1","Group3",56883.6576630892
"Cell447","Cell447","Batch1","Group4",70578.0599941181
"Cell448","Cell448","Batch1","Group3",57063.6294304663
"Cell449","Cell449","Batch1","Group1",63267.3196958464
"Cell450","Cell450","Batch1","Group2",78303.3019123972
"Cell451","Cell451","Batch1","Group2",85847.8069199676
"Cell452","Cell452","Batch1","Group1",48273.0323335544
"Cell453","Cell453","Batch1","Group4",58508.1487832712
"Cell454","Cell454","Batch1","Group3",45544.8507045862
"Cell455","Cell455","Batch1","Group2",65874.7511651456
"Cell456","Cell456","Batch1","Group2",63653.8189094696
"Cell457","Cell457","Batch1","Group5",53428.2474736736
"Cell458","Cell458","Batch1","Group4",49380.8989959177
"Cell459","Cell459","Batch1","Group1",96027.4879347485
"Cell460","Cell460","Batch1","Group5",59650.5828388838
"Cell461","Cell461","Batch1","Group2",63547.4822048188
"Cell462","Cell462","Batch1","Group2",50466.952418821
"Cell463","Cell463","Batch1","Group4",80944.6485010742
"Cell464","Cell464","Batch1","Group2",76404.9823218795
"Cell465","Cell465","Batch1","Group4",61291.6858224764
"Cell466","Cell466","Batch1","Group3",60998.2703781515
"Cell467","Cell467","Batch1","Group1",71014.9609003319
"Cell468","Cell468","Batch1","Group5",56934.9902566054
"Cell469","Cell469","Batch1","Group2",58126.5328446321
"Cell470","Cell470","Batch1","Group4",41209.4126414982
"Cell471","Cell471","Batch1","Group5",65641.8004427551
"Cell472","Cell472","Batch1","Group4",105071.704995691
"Cell473","Cell473","Batch1","Group1",63825.1930810019
"Cell474","Cell474","Batch1","Group5",46764.8165448039
"Cell475","Cell475","Batch1","Group3",70859.9768538727
"Cell476","Cell476","Batch1","Group2",67465.0452880596
"Cell477","Cell477","Batch1","Group3",64424.2696406071
"Cell478","Cell478","Batch1","Group1",61000.0903788163
"Cell479","Cell479","Batch1","Group4",67442.0656747442
"Cell480","Cell480","Batch1","Group4",54537.3799539374
"Cell481","Cell481","Batch1","Group5",43453.5637127414
"Cell482","Cell482","Batch1","Group5",67095.8669408216
"Cell483","Cell483","Batch1","Group2",63033.5924353379
"Cell484","Cell484","Batch1","Group1",74351.4128015007
"Cell485","Cell485","Batch1","Group1",46920.0231976333
"Cell486","Cell486","Batch1","Group4",44085.6296553135
"Cell487","Cell487","Batch1","Group4",43026.7650953511
"Cell488","Cell488","Batch1","Group2",70069.9881731304
"Cell489","Cell489","Batch1","Group2",73992.5337045966
"Cell490","Cell490","Batch1","Group1",51651.1129369762
"Cell491","Cell491","Batch1","Group2",58234.2824434623
"Cell492","Cell492","Batch1","Group2",45072.3744529505
"Cell493","Cell493","Batch1","Group1",71232.9707574793
"Cell494","Cell494","Batch1","Group3",43260.7964511102
"Cell495","Cell495","Batch1","Group2",61613.2787995545
"Cell496","Cell496","Batch1","Group3",69016.1583050551
"Cell497","Cell497","Batch1","Group4",59213.568530348
"Cell498","Cell498","Batch1","Group4",61967.3331616097
"Cell499","Cell499","Batch1","Group4",52689.951333996
"Cell500","Cell500","Batch1","Group1",52441.726135352
