"","Cell","Batch","Group","ExpLibSize"
"Cell40","Cell40","Batch1","Group9",74439.3017089899
"Cell41","Cell41","Batch1","Group6",103279.027725898
"Cell42","Cell42","Batch1","Group10",67759.625941211
"Cell43","Cell43","Batch1","Group8",54541.3581093844
"Cell44","Cell44","Batch1","Group9",46284.8652646796
"Cell45","Cell45","Batch1","Group7",70054.9383516045
"Cell46","Cell46","Batch1","Group7",67014.4536549015
"Cell47","Cell47","Batch1","Group9",67723.1613143347
"Cell48","Cell48","Batch1","Group2",58486.7388193648
"Cell49","Cell49","Batch1","Group6",59299.3627252527
"Cell50","Cell50","Batch1","Group9",58071.6470954551
"Cell51","Cell51","Batch1","Group8",62024.9300113396
"Cell52","Cell52","Batch1","Group6",72084.772261074
"Cell53","Cell53","Batch1","Group10",63745.804359202
"Cell54","Cell54","Batch1","Group6",64939.6937166798
"Cell55","Cell55","Batch1","Group4",47843.1483798744
"Cell56","Cell56","Batch1","Group2",53247.1672202132
"Cell57","Cell57","Batch1","Group2",64051.2837990088
"Cell58","Cell58","Batch1","Group5",66021.3905451087
"Cell59","Cell59","Batch1","Group7",55656.2923071386
"Cell60","Cell60","Batch1","Group8",55940.4313336594
"Cell61","Cell61","Batch1","Group6",56652.1445150247
"Cell62","Cell62","Batch1","Group1",40394.0475352555
"Cell63","Cell63","Batch1","Group4",71301.9500704807
"Cell64","Cell64","Batch1","Group6",69063.0675678419
"Cell65","Cell65","Batch1","Group5",69606.6518762322
"Cell66","Cell66","Batch1","Group8",63049.0072832271
"Cell67","Cell67","Batch1","Group4",52581.2380511309
"Cell68","Cell68","Batch1","Group6",56867.6049034996
"Cell69","Cell69","Batch1","Group9",57497.1865166831
"Cell70","Cell70","Batch1","Group2",69717.1419464867
"Cell71","Cell71","Batch1","Group10",44112.1498580463
"Cell72","Cell72","Batch1","Group5",86223.3761088634
"Cell73","Cell73","Batch1","Group10",60349.8774967303
"Cell74","Cell74","Batch1","Group5",64291.4999738619
"Cell75","Cell75","Batch1","Group5",58134.3985435871
"Cell76","Cell76","Batch1","Group6",39369.9222144763
"Cell77","Cell77","Batch1","Group10",57710.8874953092
"Cell78","Cell78","Batch1","Group10",84186.0321231184
"Cell79","Cell79","Batch1","Group5",83297.2356904135
"Cell80","Cell80","Batch1","Group9",78320.2483755396
"Cell81","Cell81","Batch1","Group1",79243.9861169816
"Cell82","Cell82","Batch1","Group6",58443.5179934008
"Cell83","Cell83","Batch1","Group9",63674.821221658
"Cell84","Cell84","Batch1","Group5",53951.8437052872
"Cell85","Cell85","Batch1","Group5",62961.1515648204
"Cell86","Cell86","Batch1","Group9",73279.1308394861
"Cell87","Cell87","Batch1","Group4",75142.0598248113
"Cell88","Cell88","Batch1","Group9",56814.2807462842
"Cell89","Cell89","Batch1","Group3",44326.9683816247
"Cell90","Cell90","Batch1","Group4",72055.6492386987
"Cell91","Cell91","Batch1","Group3",77217.5335563218
"Cell92","Cell92","Batch1","Group4",94643.4997363847
"Cell93","Cell93","Batch1","Group2",50422.0847118108
"Cell94","Cell94","Batch1","Group8",60657.9468865949
"Cell95","Cell95","Batch1","Group10",74065.3700730848
"Cell96","Cell96","Batch1","Group9",56092.0480470311
"Cell97","Cell97","Batch1","Group9",85416.5150035171
"Cell98","Cell98","Batch1","Group6",43101.5482336479
"Cell99","Cell99","Batch1","Group6",51201.8289698519
"Cell100","Cell100","Batch1","Group10",60059.7517523268
"Cell101","Cell101","Batch1","Group8",61026.3939149142
"Cell102","Cell102","Batch1","Group8",73001.4125123101
"Cell103","Cell103","Batch1","Group5",65228.4112125225
"Cell104","Cell104","Batch1","Group4",74880.0443421502
"Cell105","Cell105","Batch1","Group1",51640.8533898072
"Cell106","Cell106","Batch1","Group8",39624.9132192101
"Cell107","Cell107","Batch1","Group4",64728.2182341575
"Cell108","Cell108","Batch1","Group3",54335.0505998202
"Cell109","Cell109","Batch1","Group6",38372.1929829356
"Cell110","Cell110","Batch1","Group1",47226.6447605452
"Cell111","Cell111","Batch1","Group7",67645.5244691297
"Cell112","Cell112","Batch1","Group1",81050.6104196945
"Cell113","Cell113","Batch1","Group9",64370.8225861724
"Cell114","Cell114","Batch1","Group5",83256.3596318825
"Cell115","Cell115","Batch1","Group6",60955.3420126736
"Cell116","Cell116","Batch1","Group3",69266.7586552763
"Cell117","Cell117","Batch1","Group2",66901.1420930924
"Cell118","Cell118","Batch1","Group9",70915.1970140159
"Cell119","Cell119","Batch1","Group3",56263.6755457356
"Cell120","Cell120","Batch1","Group6",70984.3858538264
"Cell121","Cell121","Batch1","Group8",73510.6139797424
"Cell122","Cell122","Batch1","Group1",63783.6698339848
"Cell123","Cell123","Batch1","Group6",51765.6802678293
"Cell124","Cell124","Batch1","Group6",53606.1083336071
"Cell125","Cell125","Batch1","Group3",55677.5626733199
"Cell126","Cell126","Batch1","Group9",51017.3935116051
"Cell127","Cell127","Batch1","Group6",57978.6715816439
"Cell128","Cell128","Batch1","Group7",85580.2778412246
"Cell129","Cell129","Batch1","Group4",40570.2385368598
"Cell130","Cell130","Batch1","Group4",45822.8057905008
"Cell131","Cell131","Batch1","Group7",67876.1541644893
"Cell132","Cell132","Batch1","Group7",46914.425411276
"Cell133","Cell133","Batch1","Group2",52283.0659190217
"Cell134","Cell134","Batch1","Group2",63764.0241232792
"Cell135","Cell135","Batch1","Group8",71247.1525499817
"Cell136","Cell136","Batch1","Group1",71533.046573428
"Cell137","Cell137","Batch1","Group7",57567.5323586441
"Cell138","Cell138","Batch1","Group7",53092.5201456736
"Cell139","Cell139","Batch1","Group7",57829.7259571834
"Cell140","Cell140","Batch1","Group1",50110.8702533306
"Cell141","Cell141","Batch1","Group7",62961.0557644767
"Cell142","Cell142","Batch1","Group8",58311.3221888747
"Cell143","Cell143","Batch1","Group8",62270.6518101167
"Cell144","Cell144","Batch1","Group4",64513.1398803243
"Cell145","Cell145","Batch1","Group4",54843.3103466323
"Cell146","Cell146","Batch1","Group9",47604.5582264563
"Cell147","Cell147","Batch1","Group6",60995.4600062547
"Cell148","Cell148","Batch1","Group3",68336.7316588208
"Cell149","Cell149","Batch1","Group9",70835.3882359465
"Cell150","Cell150","Batch1","Group3",74697.4382245215
"Cell151","Cell151","Batch1","Group10",67401.9403165984
"Cell152","Cell152","Batch1","Group8",60335.1617059832
"Cell153","Cell153","Batch1","Group7",61623.4646355901
"Cell154","Cell154","Batch1","Group5",58627.9622098121
"Cell155","Cell155","Batch1","Group6",48583.6808635121
"Cell156","Cell156","Batch1","Group7",44495.6121151043
"Cell157","Cell157","Batch1","Group3",61888.0193827412
"Cell158","Cell158","Batch1","Group7",48648.9882170743
"Cell159","Cell159","Batch1","Group2",65573.168014827
"Cell160","Cell160","Batch1","Group4",68060.9915574179
"Cell161","Cell161","Batch1","Group4",92568.4475969307
"Cell162","Cell162","Batch1","Group4",68756.3866655507
"Cell163","Cell163","Batch1","Group10",61357.135388983
"Cell164","Cell164","Batch1","Group6",58206.1281855451
"Cell165","Cell165","Batch1","Group9",51251.2996260142
"Cell166","Cell166","Batch1","Group10",59652.5401802248
"Cell167","Cell167","Batch1","Group6",58538.0866683495
"Cell168","Cell168","Batch1","Group2",56191.066852908
"Cell169","Cell169","Batch1","Group5",58086.2344305883
"Cell170","Cell170","Batch1","Group9",65810.387745716
"Cell171","Cell171","Batch1","Group5",63532.1752783885
"Cell172","Cell172","Batch1","Group8",64656.1524507171
"Cell173","Cell173","Batch1","Group10",45835.6210394478
"Cell174","Cell174","Batch1","Group10",65579.8110762101
"Cell175","Cell175","Batch1","Group5",54659.2911576949
"Cell176","Cell176","Batch1","Group5",53242.5367055247
"Cell177","Cell177","Batch1","Group10",53847.613342219
"Cell178","Cell178","Batch1","Group8",70460.4274932013
"Cell179","Cell179","Batch1","Group9",54511.9211673888
"Cell180","Cell180","Batch1","Group8",51749.9201166523
"Cell181","Cell181","Batch1","Group1",56377.3489630108
"Cell182","Cell182","Batch1","Group4",82509.7884182303
"Cell183","Cell183","Batch1","Group3",60982.0907759625
"Cell184","Cell184","Batch1","Group10",72130.9855411189
"Cell185","Cell185","Batch1","Group7",64121.5883280203
"Cell186","Cell186","Batch1","Group10",57137.4959221869
"Cell187","Cell187","Batch1","Group3",68499.8994340969
"Cell188","Cell188","Batch1","Group9",73701.6881892977
"Cell189","Cell189","Batch1","Group9",78033.4610884281
"Cell190","Cell190","Batch1","Group1",64764.1999643164
"Cell191","Cell191","Batch1","Group7",60178.8947453599
"Cell192","Cell192","Batch1","Group9",57707.8178835128
"Cell193","Cell193","Batch1","Group5",62429.3967890786
"Cell194","Cell194","Batch1","Group3",70549.4547474418
"Cell195","Cell195","Batch1","Group1",78023.3949293987
"Cell196","Cell196","Batch1","Group4",72979.2041723362
"Cell197","Cell197","Batch1","Group7",59170.8374806876
"Cell198","Cell198","Batch1","Group3",59342.8100303762
"Cell199","Cell199","Batch1","Group10",68487.4047734002
"Cell200","Cell200","Batch1","Group5",51185.4528260136
"Cell201","Cell201","Batch1","Group9",49638.3407284321
"Cell202","Cell202","Batch1","Group4",65342.102129876
"Cell203","Cell203","Batch1","Group4",64360.1198920103
"Cell204","Cell204","Batch1","Group7",69848.7285429684
"Cell205","Cell205","Batch1","Group4",58709.8776290184
"Cell206","Cell206","Batch1","Group3",77477.4153943959
"Cell207","Cell207","Batch1","Group7",65298.0197049668
"Cell208","Cell208","Batch1","Group7",50068.5931752256
"Cell209","Cell209","Batch1","Group3",52404.7306855027
"Cell210","Cell210","Batch1","Group4",65051.0645895465
"Cell211","Cell211","Batch1","Group9",65690.3480819357
"Cell212","Cell212","Batch1","Group1",56583.3386084548
"Cell213","Cell213","Batch1","Group3",65647.1069284105
"Cell214","Cell214","Batch1","Group9",53245.646302527
"Cell215","Cell215","Batch1","Group1",96668.8851624808
"Cell216","Cell216","Batch1","Group10",57053.8289886422
"Cell217","Cell217","Batch1","Group5",50416.9674141453
"Cell218","Cell218","Batch1","Group8",66176.6669711579
"Cell219","Cell219","Batch1","Group1",61556.5470517281
"Cell220","Cell220","Batch1","Group1",54789.4019599111
"Cell221","Cell221","Batch1","Group5",53096.6146138237
"Cell222","Cell222","Batch1","Group4",68950.1440814304
"Cell223","Cell223","Batch1","Group3",45708.6674662247
"Cell224","Cell224","Batch1","Group5",47499.2801089108
"Cell225","Cell225","Batch1","Group7",84144.4439981611
"Cell226","Cell226","Batch1","Group1",62408.7575900222
"Cell227","Cell227","Batch1","Group7",77152.791404168
"Cell228","Cell228","Batch1","Group5",40532.5484869523
"Cell229","Cell229","Batch1","Group2",63367.220899537
"Cell230","Cell230","Batch1","Group6",52829.7863204747
"Cell231","Cell231","Batch1","Group10",67384.2298802175
"Cell232","Cell232","Batch1","Group5",80752.4856816705
"Cell233","Cell233","Batch1","Group3",59693.5507755294
"Cell234","Cell234","Batch1","Group5",77279.5468533883
"Cell235","Cell235","Batch1","Group8",55420.8223578029
"Cell236","Cell236","Batch1","Group5",81040.856972991
"Cell237","Cell237","Batch1","Group8",77575.6129488379
"Cell238","Cell238","Batch1","Group8",61888.8736339681
"Cell239","Cell239","Batch1","Group7",68717.7626314747
"Cell240","Cell240","Batch1","Group6",64142.5160923551
"Cell241","Cell241","Batch1","Group6",64089.2497928806
"Cell242","Cell242","Batch1","Group5",61851.4549051559
"Cell243","Cell243","Batch1","Group7",70077.1379176886
"Cell244","Cell244","Batch1","Group1",58563.8730033338
"Cell245","Cell245","Batch1","Group3",55213.2954391145
"Cell246","Cell246","Batch1","Group6",66106.5089967074
"Cell247","Cell247","Batch1","Group4",55077.6251189698
"Cell248","Cell248","Batch1","Group6",36544.6403437377
"Cell249","Cell249","Batch1","Group3",70838.9603427082
"Cell250","Cell250","Batch1","Group6",78461.8069774411
"Cell251","Cell251","Batch1","Group1",76461.2956849836
"Cell252","Cell252","Batch1","Group9",81143.0011173227
"Cell253","Cell253","Batch1","Group1",63357.697656271
"Cell254","Cell254","Batch1","Group6",43901.569646964
"Cell255","Cell255","Batch1","Group8",54488.2499369324
"Cell256","Cell256","Batch1","Group6",67303.8953055844
"Cell257","Cell257","Batch1","Group3",48832.622983293
"Cell258","Cell258","Batch1","Group4",59058.7309166383
"Cell259","Cell259","Batch1","Group6",52654.4974173503
"Cell260","Cell260","Batch1","Group5",69920.2678665188
"Cell261","Cell261","Batch1","Group1",60487.559699509
"Cell262","Cell262","Batch1","Group7",58929.7753485665
"Cell263","Cell263","Batch1","Group5",84421.0332443968
"Cell264","Cell264","Batch1","Group4",66036.6959989217
"Cell265","Cell265","Batch1","Group9",54591.7651149986
"Cell266","Cell266","Batch1","Group9",61820.5188332542
"Cell267","Cell267","Batch1","Group3",73579.8588745087
"Cell268","Cell268","Batch1","Group2",75057.258304511
"Cell269","Cell269","Batch1","Group9",65462.1877482017
"Cell270","Cell270","Batch1","Group8",61372.069001807
"Cell271","Cell271","Batch1","Group3",73391.8217271089
"Cell272","Cell272","Batch1","Group2",60353.4979192036
"Cell273","Cell273","Batch1","Group3",71087.1266908641
"Cell274","Cell274","Batch1","Group5",70353.983121377
"Cell275","Cell275","Batch1","Group3",52292.4497800641
"Cell276","Cell276","Batch1","Group4",45499.3566576758
"Cell277","Cell277","Batch1","Group3",68509.7814957895
"Cell278","Cell278","Batch1","Group4",66917.7932666902
"Cell279","Cell279","Batch1","Group3",55346.8619254074
"Cell280","Cell280","Batch1","Group6",57530.2937482671
"Cell281","Cell281","Batch1","Group9",65470.5269068857
"Cell282","Cell282","Batch1","Group2",68666.7357207986
"Cell283","Cell283","Batch1","Group7",71690.2998584035
"Cell284","Cell284","Batch1","Group10",65805.0727513465
"Cell285","Cell285","Batch1","Group5",63993.1163713454
"Cell286","Cell286","Batch1","Group2",72454.1519335657
"Cell287","Cell287","Batch1","Group3",69562.7036345377
"Cell288","Cell288","Batch1","Group5",63619.2224028878
"Cell289","Cell289","Batch1","Group3",62589.1361867538
"Cell290","Cell290","Batch1","Group3",79154.9665974422
"Cell291","Cell291","Batch1","Group4",107358.357984779
"Cell292","Cell292","Batch1","Group4",61170.3961032592
"Cell293","Cell293","Batch1","Group3",59080.9858339392
"Cell294","Cell294","Batch1","Group1",47637.4866109156
"Cell295","Cell295","Batch1","Group5",53216.7560844855
"Cell296","Cell296","Batch1","Group7",65887.5840558805
"Cell297","Cell297","Batch1","Group8",53744.2167528668
"Cell298","Cell298","Batch1","Group2",98685.8816251951
"Cell299","Cell299","Batch1","Group3",54211.8382563819
"Cell300","Cell300","Batch1","Group2",54911.4902876678
"Cell301","Cell301","Batch1","Group1",56652.8991655397
"Cell302","Cell302","Batch1","Group8",50469.0975200769
"Cell303","Cell303","Batch1","Group2",80578.735110908
"Cell304","Cell304","Batch1","Group6",43501.0461938094
"Cell305","Cell305","Batch1","Group6",64537.3738619219
"Cell306","Cell306","Batch1","Group5",78076.8478482109
"Cell307","Cell307","Batch1","Group1",44798.4557901395
"Cell308","Cell308","Batch1","Group3",74794.3337363117
"Cell309","Cell309","Batch1","Group10",52284.7752448521
"Cell310","Cell310","Batch1","Group2",52941.9534109758
"Cell311","Cell311","Batch1","Group6",57075.3208931044
"Cell312","Cell312","Batch1","Group3",46313.9282274132
"Cell313","Cell313","Batch1","Group3",56761.1922949521
"Cell314","Cell314","Batch1","Group10",54029.3663047821
"Cell315","Cell315","Batch1","Group9",54305.9967158573
"Cell316","Cell316","Batch1","Group4",60175.5316367245
"Cell317","Cell317","Batch1","Group6",79556.1030290661
"Cell318","Cell318","Batch1","Group2",66500.890165621
"Cell319","Cell319","Batch1","Group5",89182.650465555
"Cell320","Cell320","Batch1","Group1",58323.6165800612
"Cell321","Cell321","Batch1","Group8",57363.8816725999
"Cell322","Cell322","Batch1","Group8",66699.6100164416
"Cell323","Cell323","Batch1","Group5",57621.4056672172
"Cell324","Cell324","Batch1","Group6",42961.6606839754
"Cell325","Cell325","Batch1","Group1",46906.5088893952
"Cell326","Cell326","Batch1","Group10",83062.4069567225
"Cell327","Cell327","Batch1","Group1",79125.9311589703
"Cell328","Cell328","Batch1","Group10",69709.1608916568
"Cell329","Cell329","Batch1","Group9",68966.8776241376
"Cell330","Cell330","Batch1","Group4",49750.3130878027
"Cell331","Cell331","Batch1","Group9",77427.1283346159
"Cell332","Cell332","Batch1","Group1",64976.2697901691
"Cell333","Cell333","Batch1","Group4",47929.6496768082
"Cell334","Cell334","Batch1","Group5",71056.1243889006
"Cell335","Cell335","Batch1","Group10",49955.9459184412
"Cell336","Cell336","Batch1","Group2",48813.9567090413
"Cell337","Cell337","Batch1","Group5",48693.1474788208
"Cell338","Cell338","Batch1","Group6",56427.1553694068
"Cell339","Cell339","Batch1","Group3",42140.6320511326
"Cell340","Cell340","Batch1","Group7",68120.3103887094
"Cell341","Cell341","Batch1","Group1",66022.8609638604
"Cell342","Cell342","Batch1","Group1",48559.798813561
"Cell343","Cell343","Batch1","Group3",77258.338702484
"Cell344","Cell344","Batch1","Group7",61449.3752918004
"Cell345","Cell345","Batch1","Group5",62578.7080508956
"Cell346","Cell346","Batch1","Group8",67238.0372736143
"Cell347","Cell347","Batch1","Group4",63778.5398997381
"Cell348","Cell348","Batch1","Group6",63264.4221900718
"Cell349","Cell349","Batch1","Group3",56539.6065419449
"Cell350","Cell350","Batch1","Group5",62396.7313363268
"Cell351","Cell351","Batch1","Group9",68865.7223624077
"Cell352","Cell352","Batch1","Group6",65739.7229859065
"Cell353","Cell353","Batch1","Group2",50347.8419806442
"Cell354","Cell354","Batch1","Group9",71468.3532380582
"Cell355","Cell355","Batch1","Group6",58037.3709195582
"Cell356","Cell356","Batch1","Group1",49555.7884499753
"Cell357","Cell357","Batch1","Group4",56800.3652156332
"Cell358","Cell358","Batch1","Group10",41655.5527811685
"Cell359","Cell359","Batch1","Group2",65630.8403118389
"Cell360","Cell360","Batch1","Group10",86350.7802858031
"Cell361","Cell361","Batch1","Group6",62092.9018875053
"Cell362","Cell362","Batch1","Group3",67620.0884247977
"Cell363","Cell363","Batch1","Group5",54259.6037936246
"Cell364","Cell364","Batch1","Group10",49428.7582227463
"Cell365","Cell365","Batch1","Group4",52599.651559053
"Cell366","Cell366","Batch1","Group7",56247.9961230097
"Cell367","Cell367","Batch1","Group10",65894.8678984039
"Cell368","Cell368","Batch1","Group2",68610.8288477888
"Cell369","Cell369","Batch1","Group9",60909.0521319372
"Cell370","Cell370","Batch1","Group8",59515.2669573332
"Cell371","Cell371","Batch1","Group6",66403.5151860479
"Cell372","Cell372","Batch1","Group6",56423.7434187967
"Cell373","Cell373","Batch1","Group7",61498.2601442992
"Cell374","Cell374","Batch1","Group1",71216.4529842257
"Cell375","Cell375","Batch1","Group4",57197.7453797705
"Cell376","Cell376","Batch1","Group4",56572.4260857786
"Cell377","Cell377","Batch1","Group6",59659.1246655883
"Cell378","Cell378","Batch1","Group5",59270.0348902103
"Cell379","Cell379","Batch1","Group10",58093.5837901652
"Cell380","Cell380","Batch1","Group3",62692.1612504405
"Cell381","Cell381","Batch1","Group6",77928.4243888362
"Cell382","Cell382","Batch1","Group6",41940.865575012
"Cell383","Cell383","Batch1","Group7",58383.2089136072
"Cell384","Cell384","Batch1","Group8",75316.7676361646
"Cell385","Cell385","Batch1","Group1",65868.7098259737
"Cell386","Cell386","Batch1","Group4",56890.4039036822
"Cell387","Cell387","Batch1","Group4",60993.5642115136
"Cell388","Cell388","Batch1","Group9",98912.0995277555
"Cell389","Cell389","Batch1","Group10",64951.1763114163
"Cell390","Cell390","Batch1","Group3",61613.3562618785
"Cell391","Cell391","Batch1","Group1",65042.8649930169
"Cell392","Cell392","Batch1","Group3",88435.3059080041
"Cell393","Cell393","Batch1","Group3",58690.9280301775
"Cell394","Cell394","Batch1","Group1",65629.2079809483
"Cell395","Cell395","Batch1","Group7",53914.2704878563
"Cell396","Cell396","Batch1","Group3",61160.0178359799
"Cell397","Cell397","Batch1","Group5",38909.1848945817
"Cell398","Cell398","Batch1","Group8",74460.0745583086
"Cell399","Cell399","Batch1","Group5",69293.1053660211
"Cell400","Cell400","Batch1","Group5",71075.284505144
"Cell401","Cell401","Batch1","Group3",77068.916857755
"Cell402","Cell402","Batch1","Group8",63662.8892405117
"Cell403","Cell403","Batch1","Group3",62215.8713225224
"Cell404","Cell404","Batch1","Group1",66434.6479434086
"Cell405","Cell405","Batch1","Group10",49372.6963782378
"Cell406","Cell406","Batch1","Group1",41314.6853777722
"Cell407","Cell407","Batch1","Group9",50399.446271985
"Cell408","Cell408","Batch1","Group5",50584.6634677262
"Cell409","Cell409","Batch1","Group9",64799.7554242741
"Cell410","Cell410","Batch1","Group2",45208.3187613111
"Cell411","Cell411","Batch1","Group1",45698.8920173734
"Cell412","Cell412","Batch1","Group1",53291.577738852
"Cell413","Cell413","Batch1","Group5",70214.3809884979
"Cell414","Cell414","Batch1","Group9",59119.2437726225
"Cell415","Cell415","Batch1","Group9",56857.6941203553
"Cell416","Cell416","Batch1","Group9",65689.5962132404
"Cell417","Cell417","Batch1","Group6",65122.5016022253
"Cell418","Cell418","Batch1","Group6",76669.7784518213
"Cell419","Cell419","Batch1","Group5",50857.15335954
"Cell420","Cell420","Batch1","Group8",69903.0769835558
"Cell421","Cell421","Batch1","Group10",48963.4684897346
"Cell422","Cell422","Batch1","Group6",51391.2651437224
"Cell423","Cell423","Batch1","Group7",53439.8624090748
"Cell424","Cell424","Batch1","Group8",74745.4421581509
"Cell425","Cell425","Batch1","Group3",52372.116025681
"Cell426","Cell426","Batch1","Group5",51139.5785285213
"Cell427","Cell427","Batch1","Group6",56591.5396959612
"Cell428","Cell428","Batch1","Group2",59851.1920492025
"Cell429","Cell429","Batch1","Group1",63578.6304200141
"Cell430","Cell430","Batch1","Group10",59508.2570723231
"Cell431","Cell431","Batch1","Group10",55914.8012106869
"Cell432","Cell432","Batch1","Group1",72150.1050895999
"Cell433","Cell433","Batch1","Group2",38157.7745256144
"Cell434","Cell434","Batch1","Group5",53380.0616149877
"Cell435","Cell435","Batch1","Group7",67558.6423547461
"Cell436","Cell436","Batch1","Group3",45077.9798596633
"Cell437","Cell437","Batch1","Group10",59970.3203779894
"Cell438","Cell438","Batch1","Group9",67637.5330163751
"Cell439","Cell439","Batch1","Group2",59982.2148251146
"Cell440","Cell440","Batch1","Group6",39117.6505963714
"Cell441","Cell441","Batch1","Group1",63223.0491205355
"Cell442","Cell442","Batch1","Group2",57607.4046180584
"Cell443","Cell443","Batch1","Group4",50102.4760441623
"Cell444","Cell444","Batch1","Group7",67226.0955653754
"Cell445","Cell445","Batch1","Group8",61702.0177161212
"Cell446","Cell446","Batch1","Group4",56095.3101775899
"Cell447","Cell447","Batch1","Group6",59101.827685331
"Cell448","Cell448","Batch1","Group5",38381.2257641667
"Cell449","Cell449","Batch1","Group1",60350.193481947
"Cell450","Cell450","Batch1","Group3",50170.7907800031
"Cell451","Cell451","Batch1","Group2",72752.560157299
"Cell452","Cell452","Batch1","Group1",54757.4911507918
"Cell453","Cell453","Batch1","Group6",51058.9420797788
"Cell454","Cell454","Batch1","Group5",50385.6463571847
"Cell455","Cell455","Batch1","Group3",51902.4288589132
"Cell456","Cell456","Batch1","Group2",72771.1110684106
"Cell457","Cell457","Batch1","Group8",58935.4384223009
"Cell458","Cell458","Batch1","Group7",52896.2828202834
"Cell459","Cell459","Batch1","Group1",77840.2530422709
"Cell460","Cell460","Batch1","Group8",60798.3860992196
"Cell461","Cell461","Batch1","Group2",62815.1521637828
"Cell462","Cell462","Batch1","Group3",73097.3146526566
"Cell463","Cell463","Batch1","Group6",47685.3490007688
"Cell464","Cell464","Batch1","Group2",64662.8057707347
"Cell465","Cell465","Batch1","Group6",66136.2295538773
"Cell466","Cell466","Batch1","Group4",66105.3785185763
"Cell467","Cell467","Batch1","Group1",76503.2173165785
"Cell468","Cell468","Batch1","Group9",40238.4347226607
"Cell469","Cell469","Batch1","Group3",70220.3728342814
"Cell470","Cell470","Batch1","Group6",55894.1869153624
"Cell471","Cell471","Batch1","Group8",50014.0823572554
"Cell472","Cell472","Batch1","Group6",59081.6183270143
"Cell473","Cell473","Batch1","Group1",56418.821500847
"Cell474","Cell474","Batch1","Group9",60399.19085906
"Cell475","Cell475","Batch1","Group5",63036.2292598563
"Cell476","Cell476","Batch1","Group3",71766.6591451792
"Cell477","Cell477","Batch1","Group4",58459.0808101759
"Cell478","Cell478","Batch1","Group10",57188.5288557192
"Cell479","Cell479","Batch1","Group6",39277.1205727957
"Cell480","Cell480","Batch1","Group6",75672.2381681442
"Cell481","Cell481","Batch1","Group8",51695.3290633326
"Cell482","Cell482","Batch1","Group9",56754.5618751486
"Cell483","Cell483","Batch1","Group3",51651.4819887925
"Cell484","Cell484","Batch1","Group10",52199.931792001
"Cell485","Cell485","Batch1","Group1",71769.8384672695
"Cell486","Cell486","Batch1","Group7",94107.2766967902
"Cell487","Cell487","Batch1","Group7",76644.6793722367
"Cell488","Cell488","Batch1","Group3",78501.2541405008
"Cell489","Cell489","Batch1","Group2",60884.8255679202
"Cell490","Cell490","Batch1","Group10",61864.6465740065
"Cell491","Cell491","Batch1","Group3",64230.3773652963
"Cell492","Cell492","Batch1","Group2",69491.505069231
"Cell493","Cell493","Batch1","Group1",54487.7269427289
"Cell494","Cell494","Batch1","Group4",57844.2652655646
"Cell495","Cell495","Batch1","Group3",58163.6399662086
"Cell496","Cell496","Batch1","Group5",43560.314122583
"Cell497","Cell497","Batch1","Group6",69353.6400397405
"Cell498","Cell498","Batch1","Group6",75369.369101857
"Cell499","Cell499","Batch1","Group7",50594.1383213626
"Cell500","Cell500","Batch1","Group10",50399.8918881559
